Museum,Website,City,State,Zip Code,General Admission,Senior,Student,Children
Everson Museum of Art,everson.org,Syracuse,New York,13202,$8.00 ,,,
Munson-Williams-Proctor Arts Institute,mwpai.org,Utica,New York,13502,$12.00 ,,,
Asheville Art Museum,ashevilleart.org,Asheville,North Carolina,28801,$15.00 ,,,
Folk Art Center,southernhighlandguild.org/folk-art-center,Asheville,North Carolina,28805,$0.00 ,,,
Ackland Art Museum,ackland.org,Chapel Hill,North Carolina,27599,$0.00 ,,,
Bechtler Museum of Modern Art,bechtler.org,Charlotte,North Carolina,28202,$9.00 ,,,
Mint Museum of Art,mintmuseum.org,Charlotte,North Carolina,28207,$15.00 ,,,
Nasher Museum of Art,nasher.duke.edu,Durham,North Carolina,27705,$7.00 ,,,
Weatherspoon Art Museum,weatherspoonart.org,Greensboro,North Carolina,27402,$0.00 ,,,
North Carolina Museum of Art,ncartmuseum.org,Raleigh,North Carolina,27607,$0.00 ,,,
Contemporary Art Museum of Raleigh,camraleigh.org,Raleigh,North Carolina,27601,$5.00 ,,,
Reynolda House Museum of American Art,reynoldahouse.org,Winston-Salem,North Carolina,27106,$18.00 ,,,
Plains Art Museum,plainsart.org,Fargo,North Dakota,58102,$10.00 ,,,
North Dakota Museum of Art,ndmoa.com,Grand Forks,North Dakota,58202,$0.00 ,,,
Taube Museum of Art,taubemuseum.org,Minot,North Dakota,58701,$0.00 ,,,
Akron Art Museum,akronartmuseum.org,Akron,Ohio,44308,$12.00 ,,,
Cincinnati Art Museum,cincinnatiartmuseum.org,Cincinnati,Ohio,45202,$0.00 ,,,
Contemporary Arts Center,contemporaryartscenter.org,Cincinnati,Ohio,45202,$10.00 ,,,
Taft Museum of Art,taftmuseum.org,Cincinnati,Ohio,45202,$12.00 ,,,
The Cleveland Museum of Art,clevelandart.org,Cleveland,Ohio,44106,$0.00 ,,,
Columbus Museum of Art,columbusmuseum.org,Columbus,Ohio,43215,$18.00 ,,,
Wexner Center,wexarts.org,Columbus,Ohio,43210,$8.00 ,,,
Allen Memorial Art Museum,oberlin.edu/amam,Oberlin,Ohio,44074,$0.00 ,,,
Toledo Museum of Art,toledomuseum.org,Toledo,Ohio,43620,$0.00 ,,,
The Butler Institute of American Art,butlerart.com,Youngstown,Ohio,44502,$0.00 ,,,
Fred Jones Jr. Museum of Art,ou.edu/fjjma,Norman,Oklahoma,73019,$0.00 ,,,
Oklahoma City Museum of Art,okcmoa.com,Oklahoma City,Oklahoma,73102,$12.00 ,,,
National Cowboy & Western Heritage Museum,nationalcowboymuseum.org,Oklahoma City,Oklahoma,73111,$12.50 ,,,
Mabee-Gerrer Museum of Art,mgmoa.org,Shawnee,Oklahoma,74820,$5.00 ,,,
Gilcrease Museum,gilcrease.org,Tulsa,Oklahoma,74127,$15.00 ,,,
Philbrook Museum of Art,philbrook.org,Tulsa,Oklahoma,74114,$12.50 ,,,
Sherwin Miller Museum of Jewish Art,jewishmuseum.net,Tulsa,Oklahoma,74136,$6.00 ,,,
Jordan Schnitzer Museum of Art,jsma.uoregon.edu,Eugene,Oregon,97403,$10.00 ,,,
Portland Art Museum,portlandartmuseum.org,Portland,Oregon,97205,$20.00 ,,,
Hallie Ford Museum of Art,willamette.edu/arts/hfma,Salem,Oregon,97301,$6.00 ,,,
Allentown Art Museum,allentownartmuseum.org,Allentown,Pennsylvania,18101,$12.00 ,,,
Brandywine River Museum,brandywine.org/museum,Chadds Ford,Pennsylvania,19348,$18.00 ,,,
Westmoreland Museum of American Art,thewestmoreland.org,Greensburg,Pennsylvania,15601,$0.00 ,,,
Barnes Foundation,barnesfoundation.org,Philadelphia,Pennsylvania,19130,$25.00 ,,,
Pennsylvania Academy of Fine Arts,pafa.org,Philadelphia,Pennsylvania,19102,$15.00 ,,,
Philadelphia Museum of Art,philamuseum.org,Philadelphia,Pennsylvania,19130,$25.00 ,,,
Rodin Museum,rodinmuseum.org,Philadelphia,Pennsylvania,19130,$13.00 ,,,
University of Pennsylvania Museum of Archaeology and Anthropology,penn.museum,Philadelphia,Pennsylvania,19104,$18.00 ,,,
The Andy Warhol Museum,warhol.org,Pittsburgh,Pennsylvania,15222,$20.00 ,,,
Carnegie Museum of Art,cmoa.org,Pittsburgh,Pennsylvania,15213,$20.00 ,,,
Frick Art & Historical Center,thefrickpittsburgh.org,Pittsburgh,Pennsylvania,15208,$15.00 ,,,
Mattress Factory,mattress.org,Pittsburgh,Pennsylvania,15212,$20.00 ,,,
Toonseum,toonseum.org,Pittsburgh,Pennsylvania,15222,$8.00 ,,,
Trundle Manor,trundlemanor.com,Pittsburgh,Pennsylvania,15212,$10.00 ,,,
Ponce Museum of Art,museoarteponce.org,Ponce,Puerto Rico,00717,$6.00 ,,,
Museum of Art of Puerto Rico,museoartepr.org,San Juan,Puerto Rico,00927,$6.00 ,,,
Newport Art Museum,newportartmuseum.org,Newport,Rhode Island,02840,$15.00 ,,,
National Museum of American Illustration,americanillustration.org,Newport,Rhode Island,02840,$20.00 ,,,
Rhode Island School of Design Museum,risdmuseum.org,Providence,Rhode Island,02903,$15.00 ,,,
Gibbes Museum of Art,gibbesmuseum.org,Charleston,South Carolina,29401,$12.00 ,,,
 Bob Jones University Museum and Gallery,bjumg.org,Greenville,South Carolina,29614,$0.00 ,,,
Greenville County Museum of Art,gcma.org,Greenville,South Carolina,29601,$0.00 ,,,
Columbia Museum of Art,columbiamuseum.org,Columbia,South Carolina,29201,$15.00 ,,,
Hunter Museum of American Art,huntermuseum.org,Chattanooga,Tennessee,37403,$20.00 ,,,
Knoxville Museum of Art,knoxart.org,Knoxville,Tennessee,37916,$0.00 ,,,
Art Museum of the University of Memphis,memphis.edu/amum,Memphis,Tennessee,38152,$0.00 ,,,
Belz Museum of Asian and Judaic Art,belzmuseum.org,Memphis,Tennessee,38103,$6.00 ,,,
Dixon Gallery and Gardens,dixon.org,Memphis,Tennessee,38117,$7.00 ,,,
Memphis Brooks Museum of Art,brooksmuseum.org,Memphis,Tennessee,38103,$10.00 ,,,
Frist Center for the Visual Arts,fristartmuseum.org,Nashville,Tennessee,37203,$20.00 ,,,
Cheekwood Museum of Art,cheekwood.org,Nashville,Tennessee,37205,$22.00 ,,,
Fisk University Galleries,fisk.edu/galleries,Nashville,Tennessee,37208,$0.00 ,,,
The Grace Museum,thegracemuseum.org,Abilene,Texas,79601,$6.00 ,,,
Amarillo Museum of Art,amarilloart.org,Amarillo,Texas,79101,$10.00 ,,,
The Contemorary Austin,thecontemporaryaustin.org,Austin,Texas,78701,$12.00 ,,,
Blanton Museum of Art,blantonmuseum.org,Austin,Texas,78712,$12.00 ,,,
Elisabet Ney Museum,elisabetneymuseum.org,Austin,Texas,78751,$5.00 ,,,
Harry Ransom Center,hrc.utexas.edu,Austin,Texas,78713,$0.00 ,,,
